namespace,cpu_allocation_efficiency,memory_allocation_efficiency,disk_io,network_latency,node_temperature,node_cpu_usage,node_memory_usage,pod_lifetime_seconds,cpu_request,cpu_limit,memory_request,memory_limit,cpu_usage,memory_usage,restart_count,uptime_seconds,network_bandwidth_usage,scaling_event,risk_level
1,0.038162109,0.949259465,9.993579253,13.72254182,77.61907274,93.17761868,37.90053228,119648.0,1.5695415604262677,3.6791523748987336,3174.582782544709,5134.413852441214,3.345496144976717,2135.3103654478373,0.0,76536.0,459.0157332207024,0,2
0,0.500763066,0.04854319,935.7924417,55.49395319,84.1822447,61.44228937,5.208161183,144516.0,0.3431192821029727,3.7227157472441808,3551.4591733029038,3698.3493662000033,2.758187760089938,7442.200271014058,2.0,97849.0,507.7708077585147,1,1
1,0.172274059,0.753025185,907.1325158,67.9746557,32.7549654,25.25642323,43.37245998,180014.0,1.055142940705195,2.251390856527507,2097.5347629701546,4212.6134050849505,1.998167341150372,4120.838923973123,4.0,49806.0,493.46171534814437,1,1
3,0.5015549404999999,0.499774751,497.13384900000005,99.0460932,60.000056305,49.26683449,50.032370619999995,99422.5,1.4698897665144508,0.902925984522588,860.192557508152,1563.443511172229,1.7293575329901256,4519.302317844668,9.0,40864.0,723.0064488492887,0,2
0,0.619946585,0.822469552,564.0630976,96.36956466,25.63057337,55.0434959,60.44807487,20110.0,1.055142940705195,2.251390856527507,2097.5347629701546,4212.6134050849505,1.998167341150372,4120.838923973123,4.0,49806.0,493.46171534814437,1,1
2,0.5015549404999999,0.499774751,497.13384900000005,99.0460932,60.000056305,49.26683449,50.032370619999995,99422.5,1.6361707888790495,3.594952801591641,2984.5282514741334,2543.0282345733567,3.106996215215013,4950.964574308028,2.0,64589.0,80.17718007255425,0,1
0,0.5015549404999999,0.499774751,497.13384900000005,99.0460932,60.000056305,49.26683449,50.032370619999995,99422.5,1.447519129863566,2.4981545490641324,1768.2319915496837,7071.834563873152,3.803581730333713,3818.4499658402137,9.0,1617.0,563.8511651862499,0,2
1,0.091555111,0.004886393,202.345003,168.7145603,85.29931639,20.79306205,68.07300145,52067.0,1.055142940705195,2.251390856527507,2097.5347629701546,4212.6134050849505,1.998167341150372,4120.838923973123,4.0,49806.0,493.46171534814437,1,1
0,0.196326978,0.395967136,296.6900913,12.09127485,45.35236011,13.40396221,79.72548061,115572.0,1.055142940705195,2.251390856527507,2097.5347629701546,4212.6134050849505,1.998167341150372,4120.838923973123,4.0,49806.0,493.46171534814437,0,1
2,0.5015549404999999,0.499774751,497.13384900000005,99.0460932,60.000056305,49.26683449,50.032370619999995,99422.5,1.3997710070932756,0.600479475837596,3330.04015556583,5362.185354297639,2.998914359488724,3629.6270525245855,5.0,31707.0,46.99914378169901,0,2
